Hole Depth,Hook Load,Rotary RPM,Rotary Torque,Weight on Bit,Differential Pressure,Gamma at Bit,Rate Of Penetration
7223,126.6,59,7.96,10.5,576.7,150.73,27.63
7224,132.4,60,10.201,16.7,643.6,154.41,128.53
7225,131.7,60,8.11,11.2,453.7,154.41,114.48
7226,124.9,60,9.212,14.4,583.1,150.73,120.85
7227,122.7,60,9.523,16.4,599.5,113.97,118.28
7228,122.7,60,9.665,16.5,615.1,113.97,112.9
7229,126.4,60,9.167,15.6,622.9,132.35,119.01
7230,123.1,60,9.493,16.1,606.3,132.35,119.91
7231,123.9,60,9.879,15.7,612.6,165.44,103.51
7232,123.5,60,9.721,17.3,613.2,139.7,114.44
7233,124.9,59,9.601,16.3,626,154.41,105.16
7234,122.7,60,9.508,16,608.5,165.44,107.97
7235,136.5,60,8.68,16.4,572.5,154.499,112.54
7236,123.4,60,9.991,19.7,625.1,154.41,120.25
7237,120.9,59,9.268,17.8,592.7,154.41,105.42
7238,119.5,60,9.437,17.8,583.7,154.41,86.22
7239,119.9,59,8.845,17.7,541.7,169.11,74.96
7240,119.6,60,8.579,18.2,507.2,77.2,73.87
7241,137.1,60,7.893,17.1,413.5,66.18,98.15
7242,124.5,60,9.395,21.3,604.7,47.79,108.45
7243,125.4,60,8.369,18.6,569.3,58.82,34.44
7244,123.2,60,9.639,21.4,604.6,36.76,101.33
7245,123.7,60,9.538,21.6,590.2,44.12,90.86
7246,124.1,60,8.582,20.7,557.4,40.44,83.8
7247,123.5,60,8.582,19.4,527.2,91.91,81.88
7248,124.3,60,9.073,19.9,601.8,77.2,106.16
7249,124.6,60,9.515,19.6,607.7,73.53,106.24
7250,124.3,60,9.403,19.6,607.2,66.18,105.12
7251,125.1,60,9.478,19.5,609.3,66.18,104.54
7252,125.4,60,9.122,19.2,563.7,84.56,101.6
7253,123.3,60,8.957,19.6,592.3,88.23,98.65
7254,123.2,60,9.392,19.6,593.3,84.56,96.93
7255,123.3,60,8.845,19.5,594.6,84.56,93.47
7256,123.4,60,9.47,19.6,599.8,84.56,93.52
7257,123.3,60,9.088,19.7,595.8,84.56,95.9
7258,123.6,60,9.215,19.8,586.8,84.56,92.23
7259,123.5,60,8.953,19.3,589.1,84.56,94.54
7260,125.5,60,9.65,19.5,614.2,84.56,95.9
7261,124.3,60,9.313,19.3,605.4,62.5,108.8
7262,125.6,60,9.141,19.3,607.3,40.44,99.66
7263,125.2,60,9.433,18.9,589.9,51.47,104.36
7264,125.4,60,8.968,19,606.6,51.47,104.87
7265,125.1,60,9.5,18.5,583.7,110.29,103.6
7266,124.7,60,9.23,18.4,596.4,110.29,106.33
7267,124.4,60,8.736,18.5,608.1,99.26,109.06
7268,125.7,60,9.227,18.9,604.5,73.53,104.68
7269,125.3,60,9.081,19.3,570.5,73.53,103.29
7270,123.5,60,9.047,19.6,577.5,95.59,93.05
7271,123.4,60,9.006,19.5,575.7,91.91,88.08
7272,123.4,60,8.841,19.3,578,84.56,88.92
7273,123.5,60,9.365,19.3,576.5,73.53,86.48
7274,123.6,60,9.096,19.3,593.3,73.53,94.77
7275,124.7,60,9.594,19.8,611.4,84.56,101.62
7276,124.6,60,9.099,19.4,605.5,69.85,96.33
7277,124.8,60,9.242,19.4,597.2,356.61,99.16
7278,125.3,60,8.305,18.6,531.9,356.61,82.62
7279,124.9,60,7.904,18,489.6,356.61,81.79
7280,125.4,60,8.807,18.1,569.1,356.61,101.19
7281,124.8,60,9.253,18.1,571.1,356.61,95.57
7282,124.7,60,8.432,18,543.8,356.61,90.28
7283,124.8,60,8.32,18,527.8,356.61,84.88
7284,124.6,60,9.069,19.6,591.4,73.53,101.19
7285,124.8,60,8.766,19.4,606.5,73.53,101.63
7286,124.5,60,8.927,19.6,611.5,73.53,101.97
7287,129.7,0,2.217,10.6,222.7,102.94,29.92
7288,129.7,0,4.019,10.1,220.6,95.59,29.88
7289,129.9,0,3.652,9.5,207,91.91,29.9
7290,130.6,0,3.296,8.9,199.4,91.91,34.58
7291,131.1,0,3.304,8.9,200.2,102.94,34.58
7292,130.1,0,3.3,9.2,193.7,95.59,34.2
7293,130.6,0,3.304,9.2,192.1,95.59,38.61
7294,129.1,0,3.877,11,256,88.23,38.66
7295,129.4,0,3.09,10,254.4,91.91,38.64
7296,129.9,0,3.083,9.9,201,91.91,38.65
7297,130.6,0,3.083,10,220,80.88,38.59
7298,130.8,0,3.083,9.1,233.4,99.26,41.79
7299,130.2,26,6.481,9.7,240.2,84.56,43.68
7300,132,1,11.572,10.9,305,84.56,44.12
7307,137.7,60,8.519,9.4,335.7,110.29,74.16
7308,127.8,60,8.983,11.5,474.9,95.59,120.37
7309,126.4,59,8.875,14.3,514.6,99.26,122.06
7310,125.6,59,8.125,13.6,513.1,84.56,124.16
7311,125.1,59,8.86,14.6,499.7,80.88,128.97
7312,123.6,59,9.894,18.1,572.8,80.88,130.31
